ClearML Task: created new task id=401bbfcbc0af4c71a858377587021747
ClearML results page: https://clearml.budda.site/projects/08d9e4b8a1334ad7ba45150d8a16b97e/experiments/401bbfcbc0af4c71a858377587021747/output/log
09:24:41  loading cache ['/mnt/nvme6t/e2e_calib_cache/zod_v3_tiled_clean_i', '/mnt/nvme6t/e2e_calib_cache/tss4_v3_tiled'] (V3 full-image)
09:24:41    perturbation: ±1.5 deg / ±0.6 m   fx/fy: ±0.00% / ±0.00%   crop_px=[128, 512] (full-image px → 128)
<unknown>:83: SyntaxWarning: invalid escape sequence '\s'
2026-05-14 09:25:49,689 - clearml.model - WARNING - Connecting multiple input models with the same name: `meta`. This might result in the wrong model being used when executing remotely
09:25:58    + cache /mnt/nvme6t/e2e_calib_cache/zod_v3_tiled_clean_i: train=2339520 val=37560
09:26:05    + cache /mnt/nvme6t/e2e_calib_cache/tss4_v3_tiled: train=223040 val=3920
09:26:05  train cache(s) loaded: 2562560 instances
09:26:05  val cache loaded: 41480 instances (oversample=1)
09:26:05  sequence-level split (cache pre-built): train=2562560 val=41480
09:26:05    val subsample: 8000/41480 (deterministic first-N)
09:26:05  params: 1.81M
09:26:05  amp_dtype=torch.bfloat16 scaler_enabled=False device=NVIDIA GeForce RTX 5080 cc=(12, 0)
cache: /mnt/nvme6t/e2e_calib_cache/zod_v3_tiled_clean_i  insts: 330000  scenes: 8250  rendering 30 → experiments/zod_tss4_20260514_joint_intensity_4ch_os8_100ep/vis_pretrain
  pre_00: idx=257541  scene=074287 frame=74287  N=247 obj=25
  pre_01: idx=61475  scene=018088 frame=18088  N=55 obj=0
  pre_02: idx=153203  scene=039368 frame=39368  N=226 obj=18
  pre_03: idx=294902  scene=000504 frame=504  N=101 obj=76
  pre_04: idx=274598  scene=085239 frame=85239  N=28 obj=0
  pre_05: idx=275191  scene=085578 frame=85578  N=109 obj=0
  pre_06: idx=179709  scene=045133 frame=45133  N=15 obj=0
  pre_07: idx=190970  scene=047829 frame=47829  N=209 obj=4
  pre_08: idx=74931  scene=020500 frame=20500  N=231 obj=1
  pre_09: idx=248945  scene=069415 frame=69415  N=73 obj=0
  pre_10: idx=171699  scene=043467 frame=43467  N=98 obj=0
  pre_11: idx=192867  scene=048226 frame=48226  N=14 obj=0
  pre_12: idx=117347  scene=031553 frame=31553  N=18 obj=0
  pre_13: idx=280103  scene=089855 frame=89855  N=34 obj=7
  pre_14: idx=254894  scene=072511 frame=72511  N=151 obj=0
  pre_15: idx=184033  scene=046233 frame=46233  N=89 obj=0
  pre_16: idx=304916  scene=002426 frame=2426  N=145 obj=7
  pre_17: idx=129664  scene=034293 frame=34293  N=75 obj=0
  pre_18: idx=259806  scene=075874 frame=75874  N=235 obj=76
  pre_19: idx=127055  scene=033748 frame=33748  N=133 obj=3
  pre_20: idx=285686  scene=094548 frame=94548  N=166 obj=78
  pre_21: idx=49088  scene=016101 frame=16101  N=229 obj=12
  pre_22: idx=308677  scene=003025 frame=3025  N=172 obj=0
  pre_23: idx=148097  scene=038161 frame=38161  N=139 obj=0
  pre_24: idx=118533  scene=031853 frame=31853  N=132 obj=88
  pre_25: idx=254342  scene=072252 frame=72252  N=143 obj=7
  pre_26: idx=109722  scene=026769 frame=26769  N=18 obj=0
  pre_27: idx=234337  scene=062519 frame=62519  N=182 obj=20
  pre_28: idx=131805  scene=034804 frame=34804  N=228 obj=51
  pre_29: idx=18255  scene=011305 frame=11305  N=158 obj=84
09:27:35  vis_pretrain → experiments/zod_tss4_20260514_joint_intensity_4ch_os8_100ep/vis_pretrain
ClearML Monitor: Could not detect iteration reporting, falling back to iterations as seconds-from-start
  step 100  loss=+6.747  sps=307
  step 200  loss=+6.328  sps=535
  step 300  loss=+6.124  sps=703
  step 400  loss=+5.942  sps=835
  step 500  loss=+5.927  sps=936
  step 600  loss=+5.858  sps=1022
  step 700  loss=+5.719  sps=1091
  step 800  loss=+5.727  sps=1153
  step 900  loss=+5.735  sps=1209
  step 1000  loss=+5.652  sps=1257
  step 1100  loss=+5.785  sps=1291
  step 1200  loss=+5.653  sps=1318
  step 1300  loss=+5.646  sps=1212
  step 1400  loss=+5.640  sps=1227
  step 1500  loss=+5.583  sps=1205
  step 1600  loss=+5.633  sps=1187
  step 1700  loss=+5.562  sps=1207
  step 1800  loss=+5.667  sps=1230
  step 1900  loss=+5.569  sps=1254
  step 2000  loss=+5.570  sps=1276
  step 2100  loss=+5.471  sps=1294
  step 2200  loss=+5.509  sps=1314
  step 2300  loss=+5.406  sps=1332
  step 2400  loss=+5.356  sps=1350
  step 2500  loss=+5.305  sps=1364
  step 2600  loss=+5.457  sps=1381
  step 2700  loss=+5.267  sps=1396
  step 2800  loss=+5.330  sps=1412
  step 2900  loss=+5.361  sps=1424
  step 3000  loss=+5.315  sps=1437
  step 3100  loss=+5.214  sps=1450
  step 3200  loss=+5.296  sps=1462
  step 3300  loss=+5.228  sps=1471
  step 3400  loss=+5.259  sps=1481
  step 3500  loss=+5.275  sps=1491
  step 3600  loss=+5.281  sps=1501
  step 3700  loss=+5.262  sps=1512
  step 3800  loss=+5.284  sps=1519
  step 3900  loss=+5.162  sps=1528
  step 4000  loss=+5.293  sps=1536
  step 4100  loss=+5.221  sps=1544
  step 4200  loss=+5.226  sps=1548
  step 4300  loss=+5.213  sps=1556
  step 4400  loss=+5.143  sps=1563
  step 4500  loss=+5.072  sps=1570
  step 4600  loss=+5.109  sps=1575
  step 4700  loss=+5.273  sps=1580
  step 4800  loss=+5.054  sps=1587
  step 4900  loss=+5.062  sps=1592
  step 5000  loss=+5.251  sps=1597
  step 5100  loss=+5.147  sps=1601
  step 5200  loss=+5.208  sps=1606
  step 5300  loss=+5.203  sps=1608
  step 5400  loss=+5.172  sps=1611
  step 5500  loss=+5.132  sps=1617
  step 5600  loss=+5.381  sps=1623
  step 5700  loss=+5.123  sps=1626
  step 5800  loss=+5.122  sps=1632
  step 5900  loss=+5.197  sps=1637
  step 6000  loss=+5.221  sps=1640
  step 6100  loss=+5.438  sps=1644
  step 6200  loss=+5.188  sps=1647
  step 6300  loss=+5.100  sps=1651
  step 6400  loss=+5.023  sps=1655
  step 6500  loss=+5.052  sps=1658
  step 6600  loss=+5.168  sps=1662
  step 6700  loss=+4.999  sps=1666
  step 6800  loss=+5.166  sps=1670
  step 6900  loss=+5.035  sps=1673
  step 7000  loss=+5.024  sps=1677
  step 7100  loss=+5.310  sps=1679
  step 7200  loss=+5.049  sps=1683
  step 7300  loss=+5.025  sps=1686
  step 7400  loss=+5.075  sps=1688
  step 7500  loss=+5.182  sps=1690
  step 7600  loss=+4.981  sps=1692
  step 7700  loss=+5.188  sps=1693
  step 7800  loss=+5.081  sps=1696
  step 7900  loss=+5.025  sps=1695
  step 8000  loss=+5.021  sps=1699
  step 8100  loss=+5.170  sps=1704
  step 8200  loss=+4.852  sps=1708
  step 8300  loss=+5.049  sps=1710
  step 8400  loss=+5.031  sps=1712
  step 8500  loss=+5.022  sps=1715
  step 8600  loss=+5.004  sps=1717
  step 8700  loss=+4.986  sps=1719
  step 8800  loss=+5.063  sps=1722
  step 8900  loss=+5.059  sps=1723
  step 9000  loss=+4.894  sps=1726
  step 9100  loss=+4.917  sps=1727
  step 9200  loss=+4.937  sps=1729
  step 9300  loss=+4.870  sps=1730
  step 9400  loss=+4.890  sps=1733
  step 9500  loss=+4.956  sps=1734
  step 9600  loss=+4.960  sps=1735
  step 9700  loss=+4.994  sps=1735
  step 9800  loss=+4.943  sps=1736
  step 9900  loss=+5.103  sps=1737
  step 10000  loss=+4.891  sps=1740
